epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,212349,1.36607,0.7067,0.78917,0.85276,0.80808,0.86255,0.53035,1.16673,0.58977,0.77538,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,214810,1.36717,0.70766,0.78834,0.85375,0.80755,0.86273,0.53081,1.16628,0.58925,0.77536,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,217284,1.3632,0.70583,0.78924,0.85309,0.80848,0.86305,0.53113,1.16603,0.58888,0.77529,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,219581,1.36347,0.70531,0.78924,0.85282,0.80894,0.86312,0.53124,1.16599,0.58874,0.77528,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,221920,1.36328,0.70639,0.78893,0.85363,0.80831,0.86338,0.53155,1.16543,0.58842,0.77523,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,224351,1.36219,0.70479,0.78877,0.85268,0.80932,0.86358,0.53193,1.16483,0.58824,0.77516,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,226884,1.35864,0.70526,0.78808,0.85313,0.8095,0.86403,0.53226,1.16417,0.58769,0.77508,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,229428,1.35395,0.70226,0.78909,0.85281,0.80922,0.86398,0.53247,1.1638,0.5872,0.77506,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,232035,1.35804,0.70221,0.78845,0.85266,0.80985,0.86412,0.53272,1.16353,0.58665,0.77501,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,234705,1.35984,0.70238,0.78835,0.8527,0.81039,0.86425,0.53306,1.16325,0.58633,0.77499,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,237379,1.35817,0.6992,0.78797,0.85345,0.80991,0.86447,0.53315,1.16282,0.58601,0.77496,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,240049,1.35657,0.69928,0.78787,0.85252,0.81093,0.8646,0.53333,1.16251,0.5855,0.77491,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,242641,1.35576,0.70074,0.78744,0.85181,0.81216,0.8649,0.53379,1.16186,0.58501,0.77485,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,245220,1.35483,0.70092,0.78849,0.8517,0.81251,0.86522,0.53382,1.16171,0.58472,0.77482,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,247769,1.35226,0.69798,0.78821,0.85343,0.81168,0.8655,0.53417,1.16132,0.5844,0.77479,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,250074,1.34786,0.69541,0.78809,0.85344,0.81211,0.86579,0.53414,1.16083,0.58398,0.77474,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,252382,1.35479,0.69611,0.78739,0.85319,0.81253,0.86602,0.53431,1.16045,0.58371,0.77466,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,254657,1.34976,0.69556,0.78801,0.85377,0.81247,0.86633,0.53488,1.15942,0.58315,0.77462,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,256910,1.34691,0.69443,0.78766,0.85373,0.81252,0.86621,0.53512,1.15893,0.58289,0.77458,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,259291,1.35371,0.69767,0.78723,0.85392,0.8124,0.86632,0.53518,1.15863,0.58253,0.77455,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,261653,1.35109,0.69415,0.78723,0.85377,0.81294,0.86655,0.5356,1.15796,0.58244,0.77448,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,263924,1.34767,0.69266,0.78814,0.85454,0.81258,0.86656,0.53569,1.1576,0.58252,0.77441,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,266186,1.34995,0.69458,0.78742,0.85544,0.81214,0.86684,0.53605,1.15713,0.58213,0.77439,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,268551,1.34799,0.69275,0.78749,0.85482,0.81271,0.86696,0.53659,1.15646,0.58214,0.7743,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,270913,1.34723,0.69268,0.78717,0.85431,0.81282,0.86701,0.53676,1.15609,0.58153,0.77424,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,273258,1.34546,0.69213,0.78657,0.85447,0.81301,0.86714,0.53697,1.15551,0.58137,0.77421,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,275585,1.34932,0.69332,0.78796,0.8549,0.81288,0.86738,0.53723,1.15531,0.58098,0.77418,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,277980,1.34839,0.691,0.78765,0.85505,0.81335,0.86767,0.5376,1.15486,0.5809,0.77411,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,280419,1.34363,0.68769,0.78744,0.85503,0.81358,0.86797,0.53788,1.15477,0.58056,0.77403,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,282967,1.34336,0.68887,0.78727,0.85452,0.81401,0.86795,0.53804,1.15447,0.58001,0.77402,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,285710,1.34297,0.68881,0.7872,0.85458,0.81437,0.86825,0.53829,1.1541,0.57997,0.77396,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,288290,1.34384,0.68955,0.78653,0.85483,0.81399,0.8684,0.53846,1.15387,0.57965,0.77391,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,290519,1.3424,0.68663,0.78641,0.85452,0.81446,0.86836,0.53869,1.1533,0.57866,0.77389,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,292954,1.34185,0.68608,0.787,0.85402,0.8153,0.86863,0.53885,1.15296,0.57845,0.77383,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,295377,1.34118,0.68584,0.78597,0.85453,0.815,0.86879,0.53916,1.15292,0.57866,0.7738,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,297737,1.33715,0.68442,0.78589,0.85419,0.81551,0.8692,0.53935,1.15267,0.57862,0.77371,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,300140,1.33429,0.682,0.78647,0.85471,0.81551,0.86939,0.53958,1.15244,0.57892,0.77365,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,302663,1.3385,0.68576,0.78619,0.85559,0.81521,0.86943,0.53984,1.15193,0.57764,0.77361,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,305183,1.33928,0.68317,0.78571,0.8555,0.8156,0.8697,0.54014,1.15166,0.57766,0.77361,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,307723,1.33419,0.6811,0.78603,0.8551,0.81576,0.86964,0.54021,1.15137,0.57742,0.77357,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,310260,1.33466,0.68006,0.78586,0.85485,0.81631,0.86985,0.54021,1.15109,0.5765,0.77354,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
